complexity,loss,score,equation,sympy_format,lambda_format,Iteration
15,16.363821,2.0349356284787413e-05,(((Cu + 71.13522) - ((1.1200982 / Acenaphthylene) - -0.66068625)) - (-0.69770885 / var2_Methylnaphthalene)) - 3.86687,Cu - (-1*(-0.66068625) + 1.1200982/Acenaphthylene) - 1*3.86687 + 71.13522 - (-1)*0.69770885/var2_Methylnaphthalene,PySRFunction(X=>Cu - (-1*(-0.66068625) + 1.1200982/Acenaphthylene) - 1*3.86687 + 71.13522 - (-1)*0.69770885/var2_Methylnaphthalene),30
17,16.302889,0.0018652649950096,(((Cu + 70.79186) - (1.1197841 / Acenaphthylene)) - ((-0.71092737 + (0.06691909 ^ Tricosane)) / var2_Methylnaphthalene)) - 1.1197841,Cu - 1*1.1197841 + 70.79186 - (0.06691909**Tricosane - 0.71092737)/var2_Methylnaphthalene - 1.1197841/Acenaphthylene,PySRFunction(X=>Cu - 1*1.1197841 + 70.79186 - (0.06691909**Tricosane - 0.71092737)/var2_Methylnaphthalene - 1.1197841/Acenaphthylene),30
3,18.073547,0.0,P + 67.80656,P + 67.80656,PySRFunction(X=>P + 67.80656),31
5,17.326275,0.0211126210483168,(65.283936 + P) - Propylguaiacol,P - Propylguaiacol + 65.283936,PySRFunction(X=>P - Propylguaiacol + 65.283936),31
7,17.06053,0.0077282635188877,((P + 92.47267) - Ethylguaiacol) / 1.270121,(-Ethylguaiacol + P + 92.47267)/1.270121,PySRFunction(X=>(-Ethylguaiacol + P + 92.47267)/1.270121),31
9,16.625092,0.0129272440213771,((Cu + 72.20443) + (-0.97776014 / Acenaphthylene)) + 0.124341875,Cu + 0.124341875 + 72.20443 - 0.97776014/Acenaphthylene,PySRFunction(X=>Cu + 0.124341875 + 72.20443 - 0.97776014/Acenaphthylene),31
11,16.585835,0.0011820512653525,(((Cu + 72.20443) + (-0.97776014 / Acenaphthylene)) - Perylene) + Acenaphthylene,Acenaphthylene + Cu - Perylene + 72.20443 - 0.97776014/Acenaphthylene,PySRFunction(X=>Acenaphthylene + Cu - Perylene + 72.20443 - 0.97776014/Acenaphthylene),31
13,16.364487,0.0067177288782004,(((Cu + 70.79186) - (1.1197841 / Acenaphthylene)) - (-0.71092737 / var2_Methylnaphthalene)) - 4.211041,Cu - 1*4.211041 + 70.79186 - (-1)*0.71092737/var2_Methylnaphthalene - 1.1197841/Acenaphthylene,PySRFunction(X=>Cu - 1*4.211041 + 70.79186 - (-1)*0.71092737/var2_Methylnaphthalene - 1.1197841/Acenaphthylene),31
15,16.363821,2.0349356284787413e-05,(((Cu + 71.13522) - ((1.1200982 / Acenaphthylene) - -0.66068625)) - (-0.69770885 / var2_Methylnaphthalene)) - 3.86687,Cu - (-1*(-0.66068625) + 1.1200982/Acenaphthylene) - 1*3.86687 + 71.13522 - (-1)*0.69770885/var2_Methylnaphthalene,PySRFunction(X=>Cu - (-1*(-0.66068625) + 1.1200982/Acenaphthylene) - 1*3.86687 + 71.13522 - (-1)*0.69770885/var2_Methylnaphthalene),31
17,16.302889,0.0018652649950096,(((Cu + 70.79186) - (1.1197841 / Acenaphthylene)) - ((-0.71092737 + (0.06691909 ^ Tricosane)) / var2_Methylnaphthalene)) - 1.1197841,Cu - 1*1.1197841 + 70.79186 - (0.06691909**Tricosane - 0.71092737)/var2_Methylnaphthalene - 1.1197841/Acenaphthylene,PySRFunction(X=>Cu - 1*1.1197841 + 70.79186 - (0.06691909**Tricosane - 0.71092737)/var2_Methylnaphthalene - 1.1197841/Acenaphthylene),31
3,18.073547,0.0,P + 67.80656,P + 67.80656,PySRFunction(X=>P + 67.80656),32
5,17.326275,0.0211126210483168,(65.283936 + P) - Propylguaiacol,P - Propylguaiacol + 65.283936,PySRFunction(X=>P - Propylguaiacol + 65.283936),32
7,17.06053,0.0077282635188877,((P + 92.47267) - Ethylguaiacol) / 1.270121,(-Ethylguaiacol + P + 92.47267)/1.270121,PySRFunction(X=>(-Ethylguaiacol + P + 92.47267)/1.270121),32
9,16.625092,0.0129272440213771,((Cu + 72.20443) + (-0.97776014 / Acenaphthylene)) + 0.124341875,Cu + 0.124341875 + 72.20443 - 0.97776014/Acenaphthylene,PySRFunction(X=>Cu + 0.124341875 + 72.20443 - 0.97776014/Acenaphthylene),32
11,16.585835,0.0011820512653525,(((Cu + 72.20443) + (-0.97776014 / Acenaphthylene)) - Perylene) + Acenaphthylene,Acenaphthylene + Cu - Perylene + 72.20443 - 0.97776014/Acenaphthylene,PySRFunction(X=>Acenaphthylene + Cu - Perylene + 72.20443 - 0.97776014/Acenaphthylene),32
13,16.364487,0.0067177288782004,(((Cu + 70.79186) - (1.1197841 / Acenaphthylene)) - (-0.71092737 / var2_Methylnaphthalene)) - 4.211041,Cu - 1*4.211041 + 70.79186 - (-1)*0.71092737/var2_Methylnaphthalene - 1.1197841/Acenaphthylene,PySRFunction(X=>Cu - 1*4.211041 + 70.79186 - (-1)*0.71092737/var2_Methylnaphthalene - 1.1197841/Acenaphthylene),32
15,16.363821,2.0349356284787413e-05,(((Cu + 71.13522) - ((1.1200982 / Acenaphthylene) - -0.66068625)) - (-0.69770885 / var2_Methylnaphthalene)) - 3.86687,Cu - (-1*(-0.66068625) + 1.1200982/Acenaphthylene) - 1*3.86687 + 71.13522 - (-1)*0.69770885/var2_Methylnaphthalene,PySRFunction(X=>Cu - (-1*(-0.66068625) + 1.1200982/Acenaphthylene) - 1*3.86687 + 71.13522 - (-1)*0.69770885/var2_Methylnaphthalene),32
17,16.302889,0.0018652649950096,(((Cu + 70.79186) - (1.1197841 / Acenaphthylene)) - ((-0.71092737 + (0.06691909 ^ Tricosane)) / var2_Methylnaphthalene)) - 1.1197841,Cu - 1*1.1197841 + 70.79186 - (0.06691909**Tricosane - 0.71092737)/var2_Methylnaphthalene - 1.1197841/Acenaphthylene,PySRFunction(X=>Cu - 1*1.1197841 + 70.79186 - (0.06691909**Tricosane - 0.71092737)/var2_Methylnaphthalene - 1.1197841/Acenaphthylene),32
3,18.073547,0.0,P + 67.80656,P + 67.80656,PySRFunction(X=>P + 67.80656),33
5,17.326275,0.0211126210483168,(65.283936 + P) - Propylguaiacol,P - Propylguaiacol + 65.283936,PySRFunction(X=>P - Propylguaiacol + 65.283936),33
7,17.06053,0.0077282635188877,((P + 92.47267) - Ethylguaiacol) / 1.270121,(-Ethylguaiacol + P + 92.47267)/1.270121,PySRFunction(X=>(-Ethylguaiacol + P + 92.47267)/1.270121),33
9,16.625092,0.0129272440213771,((Cu + 72.20443) + (-0.97776014 / Acenaphthylene)) + 0.124341875,Cu + 0.124341875 + 72.20443 - 0.97776014/Acenaphthylene,PySRFunction(X=>Cu + 0.124341875 + 72.20443 - 0.97776014/Acenaphthylene),33
11,16.585835,0.0011820512653525,(((Cu + 72.20443) + (-0.97776014 / Acenaphthylene)) - Perylene) + Acenaphthylene,Acenaphthylene + Cu - Perylene + 72.20443 - 0.97776014/Acenaphthylene,PySRFunction(X=>Acenaphthylene + Cu - Perylene + 72.20443 - 0.97776014/Acenaphthylene),33
13,16.364487,0.0067177288782004,(((Cu + 70.79186) - (1.1197841 / Acenaphthylene)) - (-0.71092737 / var2_Methylnaphthalene)) - 4.211041,Cu - 1*4.211041 + 70.79186 - (-1)*0.71092737/var2_Methylnaphthalene - 1.1197841/Acenaphthylene,PySRFunction(X=>Cu - 1*4.211041 + 70.79186 - (-1)*0.71092737/var2_Methylnaphthalene - 1.1197841/Acenaphthylene),33
15,16.363821,2.0349356284787413e-05,(((Cu + 71.13522) - ((1.1200982 / Acenaphthylene) - -0.66068625)) - (-0.69770885 / var2_Methylnaphthalene)) - 3.86687,Cu - (-1*(-0.66068625) + 1.1200982/Acenaphthylene) - 1*3.86687 + 71.13522 - (-1)*0.69770885/var2_Methylnaphthalene,PySRFunction(X=>Cu - (-1*(-0.66068625) + 1.1200982/Acenaphthylene) - 1*3.86687 + 71.13522 - (-1)*0.69770885/var2_Methylnaphthalene),33
17,16.302889,0.0018652649950096,(((Cu + 70.79186) - (1.1197841 / Acenaphthylene)) - ((-0.71092737 + (0.06691909 ^ Tricosane)) / var2_Methylnaphthalene)) - 1.1197841,Cu - 1*1.1197841 + 70.79186 - (0.06691909**Tricosane - 0.71092737)/var2_Methylnaphthalene - 1.1197841/Acenaphthylene,PySRFunction(X=>Cu - 1*1.1197841 + 70.79186 - (0.06691909**Tricosane - 0.71092737)/var2_Methylnaphthalene - 1.1197841/Acenaphthylene),33
3,18.073547,0.0,P + 67.80656,P + 67.80656,PySRFunction(X=>P + 67.80656),34
5,17.326275,0.0211126210483168,(65.283936 + P) - Propylguaiacol,P - Propylguaiacol + 65.283936,PySRFunction(X=>P - Propylguaiacol + 65.283936),34
7,17.06053,0.0077282635188877,((P + 92.47267) - Ethylguaiacol) / 1.270121,(-Ethylguaiacol + P + 92.47267)/1.270121,PySRFunction(X=>(-Ethylguaiacol + P + 92.47267)/1.270121),34
9,16.625092,0.0129272440213771,((Cu + 72.20443) + (-0.97776014 / Acenaphthylene)) + 0.124341875,Cu + 0.124341875 + 72.20443 - 0.97776014/Acenaphthylene,PySRFunction(X=>Cu + 0.124341875 + 72.20443 - 0.97776014/Acenaphthylene),34
11,16.585835,0.0011820512653525,(((Cu + 72.20443) + (-0.97776014 / Acenaphthylene)) - Perylene) + Acenaphthylene,Acenaphthylene + Cu - Perylene + 72.20443 - 0.97776014/Acenaphthylene,PySRFunction(X=>Acenaphthylene + Cu - Perylene + 72.20443 - 0.97776014/Acenaphthylene),34
13,16.364487,0.0067177288782004,(((Cu + 70.79186) - (1.1197841 / Acenaphthylene)) - (-0.71092737 / var2_Methylnaphthalene)) - 4.211041,Cu - 1*4.211041 + 70.79186 - (-1)*0.71092737/var2_Methylnaphthalene - 1.1197841/Acenaphthylene,PySRFunction(X=>Cu - 1*4.211041 + 70.79186 - (-1)*0.71092737/var2_Methylnaphthalene - 1.1197841/Acenaphthylene),34
15,16.363821,2.0349356284787413e-05,(((Cu + 71.13522) - ((1.1200982 / Acenaphthylene) - -0.66068625)) - (-0.69770885 / var2_Methylnaphthalene)) - 3.86687,Cu - (-1*(-0.66068625) + 1.1200982/Acenaphthylene) - 1*3.86687 + 71.13522 - (-1)*0.69770885/var2_Methylnaphthalene,PySRFunction(X=>Cu - (-1*(-0.66068625) + 1.1200982/Acenaphthylene) - 1*3.86687 + 71.13522 - (-1)*0.69770885/var2_Methylnaphthalene),34
17,16.302889,0.0018652649950096,(((Cu + 70.79186) - (1.1197841 / Acenaphthylene)) - ((-0.71092737 + (0.06691909 ^ Tricosane)) / var2_Methylnaphthalene)) - 1.1197841,Cu - 1*1.1197841 + 70.79186 - (0.06691909**Tricosane - 0.71092737)/var2_Methylnaphthalene - 1.1197841/Acenaphthylene,PySRFunction(X=>Cu - 1*1.1197841 + 70.79186 - (0.06691909**Tricosane - 0.71092737)/var2_Methylnaphthalene - 1.1197841/Acenaphthylene),34
3,18.073547,0.0,P + 67.80656,P + 67.80656,PySRFunction(X=>P + 67.80656),35
5,17.326275,0.0211126210483168,(65.283936 + P) - Propylguaiacol,P - Propylguaiacol + 65.283936,PySRFunction(X=>P - Propylguaiacol + 65.283936),35
7,17.06053,0.0077282635188877,((P + 92.47267) - Ethylguaiacol) / 1.270121,(-Ethylguaiacol + P + 92.47267)/1.270121,PySRFunction(X=>(-Ethylguaiacol + P + 92.47267)/1.270121),35
9,16.625092,0.0129272440213771,((Cu + 72.20443) + (-0.97776014 / Acenaphthylene)) + 0.124341875,Cu + 0.124341875 + 72.20443 - 0.97776014/Acenaphthylene,PySRFunction(X=>Cu + 0.124341875 + 72.20443 - 0.97776014/Acenaphthylene),35
11,16.585835,0.0011820512653525,(((Cu + 72.20443) + (-0.97776014 / Acenaphthylene)) - Perylene) + Acenaphthylene,Acenaphthylene + Cu - Perylene + 72.20443 - 0.97776014/Acenaphthylene,PySRFunction(X=>Acenaphthylene + Cu - Perylene + 72.20443 - 0.97776014/Acenaphthylene),35
13,16.364487,0.0067177288782004,(((Cu + 70.79186) - (1.1197841 / Acenaphthylene)) - (-0.71092737 / var2_Methylnaphthalene)) - 4.211041,Cu - 1*4.211041 + 70.79186 - (-1)*0.71092737/var2_Methylnaphthalene - 1.1197841/Acenaphthylene,PySRFunction(X=>Cu - 1*4.211041 + 70.79186 - (-1)*0.71092737/var2_Methylnaphthalene - 1.1197841/Acenaphthylene),35
15,16.363821,2.0349356284787413e-05,(((Cu + 71.13522) - ((1.1200982 / Acenaphthylene) - -0.66068625)) - (-0.69770885 / var2_Methylnaphthalene)) - 3.86687,Cu - (-1*(-0.66068625) + 1.1200982/Acenaphthylene) - 1*3.86687 + 71.13522 - (-1)*0.69770885/var2_Methylnaphthalene,PySRFunction(X=>Cu - (-1*(-0.66068625) + 1.1200982/Acenaphthylene) - 1*3.86687 + 71.13522 - (-1)*0.69770885/var2_Methylnaphthalene),35
17,16.302889,0.0018652649950096,(((Cu + 70.79186) - (1.1197841 / Acenaphthylene)) - ((-0.71092737 + (0.06691909 ^ Tricosane)) / var2_Methylnaphthalene)) - 1.1197841,Cu - 1*1.1197841 + 70.79186 - (0.06691909**Tricosane - 0.71092737)/var2_Methylnaphthalene - 1.1197841/Acenaphthylene,PySRFunction(X=>Cu - 1*1.1197841 + 70.79186 - (0.06691909**Tricosane - 0.71092737)/var2_Methylnaphthalene - 1.1197841/Acenaphthylene),35
3,18.073547,0.0,P + 67.80656,P + 67.80656,PySRFunction(X=>P + 67.80656),36
5,17.326275,0.0211126210483168,(65.283936 + P) - Propylguaiacol,P - Propylguaiacol + 65.283936,PySRFunction(X=>P - Propylguaiacol + 65.283936),36
7,17.06053,0.0077282635188877,((P + 92.47267) - Ethylguaiacol) / 1.270121,(-Ethylguaiacol + P + 92.47267)/1.270121,PySRFunction(X=>(-Ethylguaiacol + P + 92.47267)/1.270121),36
9,16.625092,0.0129272440213771,((Cu + 72.20443) + (-0.97776014 / Acenaphthylene)) + 0.124341875,Cu + 0.124341875 + 72.20443 - 0.97776014/Acenaphthylene,PySRFunction(X=>Cu + 0.124341875 + 72.20443 - 0.97776014/Acenaphthylene),36
11,16.585835,0.0011820512653525,(((Cu + 72.20443) + (-0.97776014 / Acenaphthylene)) - Perylene) + Acenaphthylene,Acenaphthylene + Cu - Perylene + 72.20443 - 0.97776014/Acenaphthylene,PySRFunction(X=>Acenaphthylene + Cu - Perylene + 72.20443 - 0.97776014/Acenaphthylene),36
13,16.364487,0.0067177288782004,(((Cu + 70.79186) - (1.1197841 / Acenaphthylene)) - (-0.71092737 / var2_Methylnaphthalene)) - 4.211041,Cu - 1*4.211041 + 70.79186 - (-1)*0.71092737/var2_Methylnaphthalene - 1.1197841/Acenaphthylene,PySRFunction(X=>Cu - 1*4.211041 + 70.79186 - (-1)*0.71092737/var2_Methylnaphthalene - 1.1197841/Acenaphthylene),36
15,16.363821,2.0349356284787413e-05,(((Cu + 71.13522) - ((1.1200982 / Acenaphthylene) - -0.66068625)) - (-0.69770885 / var2_Methylnaphthalene)) - 3.86687,Cu - (-1*(-0.66068625) + 1.1200982/Acenaphthylene) - 1*3.86687 + 71.13522 - (-1)*0.69770885/var2_Methylnaphthalene,PySRFunction(X=>Cu - (-1*(-0.66068625) + 1.1200982/Acenaphthylene) - 1*3.86687 + 71.13522 - (-1)*0.69770885/var2_Methylnaphthalene),36
17,16.302889,0.0018652649950096,(((Cu + 70.79186) - (1.1197841 / Acenaphthylene)) - ((-0.71092737 + (0.06691909 ^ Tricosane)) / var2_Methylnaphthalene)) - 1.1197841,Cu - 1*1.1197841 + 70.79186 - (0.06691909**Tricosane - 0.71092737)/var2_Methylnaphthalene - 1.1197841/Acenaphthylene,PySRFunction(X=>Cu - 1*1.1197841 + 70.79186 - (0.06691909**Tricosane - 0.71092737)/var2_Methylnaphthalene - 1.1197841/Acenaphthylene),36
3,18.073547,0.0,P + 67.80656,P + 67.80656,PySRFunction(X=>P + 67.80656),37
5,17.326275,0.0211126210483168,(65.283936 + P) - Propylguaiacol,P - Propylguaiacol + 65.283936,PySRFunction(X=>P - Propylguaiacol + 65.283936),37
7,17.06053,0.0077282635188877,((P + 92.47267) - Ethylguaiacol) / 1.270121,(-Ethylguaiacol + P + 92.47267)/1.270121,PySRFunction(X=>(-Ethylguaiacol + P + 92.47267)/1.270121),37
9,16.625092,0.0129272440213771,((Cu + 72.20443) + (-0.97776014 / Acenaphthylene)) + 0.124341875,Cu + 0.124341875 + 72.20443 - 0.97776014/Acenaphthylene,PySRFunction(X=>Cu + 0.124341875 + 72.20443 - 0.97776014/Acenaphthylene),37
11,16.585835,0.0011820512653525,(((Cu + 72.20443) + (-0.97776014 / Acenaphthylene)) - Perylene) + Acenaphthylene,Acenaphthylene + Cu - Perylene + 72.20443 - 0.97776014/Acenaphthylene,PySRFunction(X=>Acenaphthylene + Cu - Perylene + 72.20443 - 0.97776014/Acenaphthylene),37
13,16.364487,0.0067177288782004,(((Cu + 70.79186) - (1.1197841 / Acenaphthylene)) - (-0.71092737 / var2_Methylnaphthalene)) - 4.211041,Cu - 1*4.211041 + 70.79186 - (-1)*0.71092737/var2_Methylnaphthalene - 1.1197841/Acenaphthylene,PySRFunction(X=>Cu - 1*4.211041 + 70.79186 - (-1)*0.71092737/var2_Methylnaphthalene - 1.1197841/Acenaphthylene),37
15,16.363821,2.0349356284787413e-05,(((Cu + 71.13522) - ((1.1200982 / Acenaphthylene) - -0.66068625)) - (-0.69770885 / var2_Methylnaphthalene)) - 3.86687,Cu - (-1*(-0.66068625) + 1.1200982/Acenaphthylene) - 1*3.86687 + 71.13522 - (-1)*0.69770885/var2_Methylnaphthalene,PySRFunction(X=>Cu - (-1*(-0.66068625) + 1.1200982/Acenaphthylene) - 1*3.86687 + 71.13522 - (-1)*0.69770885/var2_Methylnaphthalene),37
17,16.302889,0.0018652649950096,(((Cu + 70.79186) - (1.1197841 / Acenaphthylene)) - ((-0.71092737 + (0.06691909 ^ Tricosane)) / var2_Methylnaphthalene)) - 1.1197841,Cu - 1*1.1197841 + 70.79186 - (0.06691909**Tricosane - 0.71092737)/var2_Methylnaphthalene - 1.1197841/Acenaphthylene,PySRFunction(X=>Cu - 1*1.1197841 + 70.79186 - (0.06691909**Tricosane - 0.71092737)/var2_Methylnaphthalene - 1.1197841/Acenaphthylene),37
3,18.073547,0.0,P + 67.80656,P + 67.80656,PySRFunction(X=>P + 67.80656),38
5,17.326275,0.0211126210483168,(65.283936 + P) - Propylguaiacol,P - Propylguaiacol + 65.283936,PySRFunction(X=>P - Propylguaiacol + 65.283936),38
7,17.06053,0.0077282635188877,((P + 92.47267) - Ethylguaiacol) / 1.270121,(-Ethylguaiacol + P + 92.47267)/1.270121,PySRFunction(X=>(-Ethylguaiacol + P + 92.47267)/1.270121),38
9,16.625092,0.0129272440213771,((Cu + 72.20443) + (-0.97776014 / Acenaphthylene)) + 0.124341875,Cu + 0.124341875 + 72.20443 - 0.97776014/Acenaphthylene,PySRFunction(X=>Cu + 0.124341875 + 72.20443 - 0.97776014/Acenaphthylene),38
11,16.585835,0.0011820512653525,(((Cu + 72.20443) + (-0.97776014 / Acenaphthylene)) - Perylene) + Acenaphthylene,Acenaphthylene + Cu - Perylene + 72.20443 - 0.97776014/Acenaphthylene,PySRFunction(X=>Acenaphthylene + Cu - Perylene + 72.20443 - 0.97776014/Acenaphthylene),38
13,16.364487,0.0067177288782004,(((Cu + 70.79186) - (1.1197841 / Acenaphthylene)) - (-0.71092737 / var2_Methylnaphthalene)) - 4.211041,Cu - 1*4.211041 + 70.79186 - (-1)*0.71092737/var2_Methylnaphthalene - 1.1197841/Acenaphthylene,PySRFunction(X=>Cu - 1*4.211041 + 70.79186 - (-1)*0.71092737/var2_Methylnaphthalene - 1.1197841/Acenaphthylene),38
15,16.363821,2.0349356284787413e-05,(((Cu + 71.13522) - ((1.1200982 / Acenaphthylene) - -0.66068625)) - (-0.69770885 / var2_Methylnaphthalene)) - 3.86687,Cu - (-1*(-0.66068625) + 1.1200982/Acenaphthylene) - 1*3.86687 + 71.13522 - (-1)*0.69770885/var2_Methylnaphthalene,PySRFunction(X=>Cu - (-1*(-0.66068625) + 1.1200982/Acenaphthylene) - 1*3.86687 + 71.13522 - (-1)*0.69770885/var2_Methylnaphthalene),38
17,16.302889,0.0018652649950096,(((Cu + 70.79186) - (1.1197841 / Acenaphthylene)) - ((-0.71092737 + (0.06691909 ^ Tricosane)) / var2_Methylnaphthalene)) - 1.1197841,Cu - 1*1.1197841 + 70.79186 - (0.06691909**Tricosane - 0.71092737)/var2_Methylnaphthalene - 1.1197841/Acenaphthylene,PySRFunction(X=>Cu - 1*1.1197841 + 70.79186 - (0.06691909**Tricosane - 0.71092737)/var2_Methylnaphthalene - 1.1197841/Acenaphthylene),38
3,18.073547,0.0,P + 67.80656,P + 67.80656,PySRFunction(X=>P + 67.80656),39
5,17.326275,0.0211126210483168,(65.283936 + P) - Propylguaiacol,P - Propylguaiacol + 65.283936,PySRFunction(X=>P - Propylguaiacol + 65.283936),39
7,17.06053,0.0077282635188877,((P + 92.47267) - Ethylguaiacol) / 1.270121,(-Ethylguaiacol + P + 92.47267)/1.270121,PySRFunction(X=>(-Ethylguaiacol + P + 92.47267)/1.270121),39
9,16.625092,0.0129272440213771,((Cu + 72.20443) + (-0.97776014 / Acenaphthylene)) + 0.124341875,Cu + 0.124341875 + 72.20443 - 0.97776014/Acenaphthylene,PySRFunction(X=>Cu + 0.124341875 + 72.20443 - 0.97776014/Acenaphthylene),39
11,16.572353,0.0015886476916395,((-0.99234676 / Acenaphthylene) + (Cu + 73.19447)) - (Fluorene * Fluorene),Cu - Fluorene*Fluorene + 73.19447 - 0.99234676/Acenaphthylene,PySRFunction(X=>Cu - Fluorene*Fluorene + 73.19447 - 0.99234676/Acenaphthylene),39
13,16.364487,0.0063111324519134,(((Cu + 70.79186) - (1.1197841 / Acenaphthylene)) - (-0.71092737 / var2_Methylnaphthalene)) - 4.211041,Cu - 1*4.211041 + 70.79186 - (-1)*0.71092737/var2_Methylnaphthalene - 1.1197841/Acenaphthylene,PySRFunction(X=>Cu - 1*4.211041 + 70.79186 - (-1)*0.71092737/var2_Methylnaphthalene - 1.1197841/Acenaphthylene),39
15,16.363821,2.0349356284787413e-05,(((Cu + 71.13522) - ((1.1200982 / Acenaphthylene) - -0.66068625)) - (-0.69770885 / var2_Methylnaphthalene)) - 3.86687,Cu - (-1*(-0.66068625) + 1.1200982/Acenaphthylene) - 1*3.86687 + 71.13522 - (-1)*0.69770885/var2_Methylnaphthalene,PySRFunction(X=>Cu - (-1*(-0.66068625) + 1.1200982/Acenaphthylene) - 1*3.86687 + 71.13522 - (-1)*0.69770885/var2_Methylnaphthalene),39
17,16.302889,0.0018652649950096,(((Cu + 70.79186) - (1.1197841 / Acenaphthylene)) - ((-0.71092737 + (0.06691909 ^ Tricosane)) / var2_Methylnaphthalene)) - 1.1197841,Cu - 1*1.1197841 + 70.79186 - (0.06691909**Tricosane - 0.71092737)/var2_Methylnaphthalene - 1.1197841/Acenaphthylene,PySRFunction(X=>Cu - 1*1.1197841 + 70.79186 - (0.06691909**Tricosane - 0.71092737)/var2_Methylnaphthalene - 1.1197841/Acenaphthylene),39
3,21.32804,0.0,83.265236 + Ba,Ba + 83.265236,PySRFunction(X=>Ba + 83.265236),4
5,20.54281,0.0187558187642127,(76.8331 + Ba) + Hexacosane,Ba + Hexacosane + 76.8331,PySRFunction(X=>Ba + Hexacosane + 76.8331),4
7,17.819723,0.071102561892699,-1.5353355 + ((0.115078054 - -66.20685) + P),P - 1.5353355 + 0.115078054 - 1*(-66.20685),PySRFunction(X=>P - 1.5353355 + 0.115078054 - 1*(-66.20685)),4
9,17.781378,0.0010770738474593,0.68579054 + ((P - (-31.529865 - 30.28597)) + Octacosane),Octacosane + P + 0.68579054 - (-31.529865 - 1*30.28597),PySRFunction(X=>Octacosane + P + 0.68579054 - (-31.529865 - 1*30.28597)),4
11,17.717722,0.0017931741432331,(0.07944769 / Phytane) + ((P - (-31.529865 - 30.28597)) + Octacosane),Octacosane + P - (-31.529865 - 1*30.28597) + 0.07944769/Phytane,PySRFunction(X=>Octacosane + P - (-31.529865 - 1*30.28597) + 0.07944769/Phytane),4
13,16.984133,0.0211429131691445,Acenaphthylene + (((0.41970286 - -66.37368) + P) + ((-1.3676662 / Ti) / 1.8544648)),Acenaphthylene + P + 0.41970286 - 1*(-66.37368) - 1.3676662/(1.8544648*Ti),PySRFunction(X=>Acenaphthylene + P + 0.41970286 - 1*(-66.37368) - 1.3676662/(1.8544648*Ti)),4
15,16.923738,0.0017811517528697,Acenaphthylene + ((((0.41970286 - -66.37368) + P) + Pentacosane) + ((-1.3676662 / Ti) / 1.8544648)),Acenaphthylene + P + Pentacosane + 0.41970286 - 1*(-66.37368) - 1.3676662/(1.8544648*Ti),PySRFunction(X=>Acenaphthylene + P + Pentacosane + 0.41970286 - 1*(-66.37368) - 1.3676662/(1.8544648*Ti)),4
17,16.897163,0.0007857568746988,(((Cl - -67.16677) + (P - Sb)) + ((-1.4460709 / Ti) / 1.8547941)) + (var1_Methylchysene - -1.6162707),Cl + P - Sb + var1_Methylchysene - 1*(-1.6162707) - 1*(-67.16677) - 1.4460709/(1.8547941*Ti),PySRFunction(X=>Cl + P - Sb + var1_Methylchysene - 1*(-1.6162707) - 1*(-67.16677) - 1.4460709/(1.8547941*Ti)),4
19,16.449106,0.0134373043924149,(1.4839118 * ((45.15057 / 0.7283899) + ((-2.5099142 - (-0.017598465 - Fluoranthene)) / ((Octadecane / Coniferylaldehyde) + Hexacosane)))) - Hexacosane,-Hexacosane + 1.4839118*(45.15057/0.7283899 + (-(-Fluoranthene - 0.017598465) - 2.5099142)/(Hexacosane + Octadecane/Coniferylaldehyde)),PySRFunction(X=>-Hexacosane + 1.4839118*(45.15057/0.7283899 + (-(-Fluoranthene - 0.017598465) - 2.5099142)/(Hexacosane + Octadecane/Coniferylaldehyde))),4
3,18.073547,0.0,P + 67.80656,P + 67.80656,PySRFunction(X=>P + 67.80656),40
5,17.326275,0.0211126210483168,(65.283936 + P) - Propylguaiacol,P - Propylguaiacol + 65.283936,PySRFunction(X=>P - Propylguaiacol + 65.283936),40
7,17.06053,0.0077282635188877,((P + 92.47267) - Ethylguaiacol) / 1.270121,(-Ethylguaiacol + P + 92.47267)/1.270121,PySRFunction(X=>(-Ethylguaiacol + P + 92.47267)/1.270121),40
9,16.625092,0.0129272440213771,((Cu + 72.20443) + (-0.97776014 / Acenaphthylene)) + 0.124341875,Cu + 0.124341875 + 72.20443 - 0.97776014/Acenaphthylene,PySRFunction(X=>Cu + 0.124341875 + 72.20443 - 0.97776014/Acenaphthylene),40
11,16.572353,0.0015886476916395,((-0.99234676 / Acenaphthylene) + (Cu + 73.19447)) - (Fluorene * Fluorene),Cu - Fluorene*Fluorene + 73.19447 - 0.99234676/Acenaphthylene,PySRFunction(X=>Cu - Fluorene*Fluorene + 73.19447 - 0.99234676/Acenaphthylene),40
13,16.364487,0.0063111324519134,(((Cu + 70.79186) - (1.1197841 / Acenaphthylene)) - (-0.71092737 / var2_Methylnaphthalene)) - 4.211041,Cu - 1*4.211041 + 70.79186 - (-1)*0.71092737/var2_Methylnaphthalene - 1.1197841/Acenaphthylene,PySRFunction(X=>Cu - 1*4.211041 + 70.79186 - (-1)*0.71092737/var2_Methylnaphthalene - 1.1197841/Acenaphthylene),40
