Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
cAMP-mediated signaling	8.48E-01	8.3E-03	NaN	CREB1,FPR1	
DNA Damage/Telomere Stress Induced Senescence	8.45E-01	1.79E-02	NaN	CDKN1A	
Interleukin-3, Interleukin-5 and GM-CSF signaling	8.45E-01	1.79E-02	NaN	CSF2	
Actin Cytoskeleton Signaling	8.42E-01	8.23E-03	NaN	ACTN2,MYL4	
Superpathway of Inositol Phosphate Compounds	8.42E-01	8.23E-03	NaN	DUSP11,PTPN1	
CSDE1 Signaling Pathway	8.38E-01	1.75E-02	NaN	MYC	
AMPK Signaling	8.37E-01	8.16E-03	NaN	CDKN1A,CREB1	
Circadian Clock	8.31E-01	1.72E-02	NaN	CREB1	
Signaling by PDGF	8.31E-01	1.72E-02	NaN	SPP1	
Role of CHK Proteins in Cell Cycle Checkpoint Control	8.31E-01	1.72E-02	NaN	CDKN1A	
Metabolism of polyamines	8.24E-01	1.69E-02	NaN	SRM	
Endometrial Cancer Signaling	8.18E-01	1.67E-02	NaN	MYC	
Docosahexaenoic Acid (DHA) Signaling	8.17E-01	7.94E-03	NaN	CREB1,NOTUM	
Wound Healing Signaling Pathway	8.15E-01	7.91E-03	NaN	CSF2,IL6	
Sperm Motility	8.01E-01	7.75E-03	NaN	NOTUM,NPPA	
Hematoma Resolution Signaling Pathway	7.99E-01	7.72E-03	NaN	CSF2,IL6	
NCAM signaling for neurite out-growth	7.98E-01	1.59E-02	NaN	CREB1	
Mitochondrial biogenesis	7.92E-01	1.56E-02	NaN	CREB1	
Thrombopoietin Signaling	7.92E-01	1.56E-02	NaN	MYC	
Triacylglycerol Degradation	7.92E-01	1.56E-02	NaN	NOTUM	
Hedgehog ligand biogenesis	7.86E-01	1.54E-02	NaN	NOTUM	
Role of JAK2 in Hormone-like Cytokine Signaling	7.86E-01	1.54E-02	NaN	PTPN1	
ERB2-ERBB3 Signaling	7.86E-01	1.54E-02	NaN	MYC	
Activation of IRF by Cytosolic Pattern Recognition Receptors	7.8E-01	1.52E-02	NaN	IL6	
PXR/RXR Activation	7.74E-01	1.49E-02	NaN	IL6	
Oxidative Ethanol Degradation III	7.74E-01	1.49E-02	NaN	ALDH1A2	
Colorectal Cancer Metastasis Signaling	7.7E-01	7.41E-03	NaN	IL6,MYC	
Axonal Guidance Signaling	7.69E-01	5.79E-03	NaN	ADAMTS5,MYL4,NOTUM	
IL-17A Signaling in Airway Cells	7.68E-01	1.47E-02	NaN	IL6	
Cell Cycle Checkpoints	7.65E-01	7.35E-03	NaN	CDKN1A,SFN	
Phospholipases	7.62E-01	1.45E-02	NaN	NOTUM	
GM-CSF Signaling	7.56E-01	1.43E-02	NaN	CSF2	
IL-15 Signaling	7.54E-01	5.69E-03	NaN	CSF2,Igkv16-104,MYC	
Remodeling of Epithelial Adherens Junctions	7.51E-01	1.41E-02	NaN	ACTN2	
Protein Ubiquitination Pathway	7.48E-01	7.17E-03	NaN	HSPH1,UBE3A	
Translocation of SLC2A4 (GLUT4) to the plasma membrane	7.45E-01	1.39E-02	NaN	SFN	
Opioid Signaling Pathway	7.41E-01	7.09E-03	NaN	CREB1,MYC	
Melatonin Signaling	7.34E-01	1.35E-02	NaN	NOTUM	
Insulin Secretion Signaling Pathway	7.34E-01	7.02E-03	NaN	CREB1,NOTUM	
CLEAR Signaling Pathway	7.32E-01	6.99E-03	NaN	CREB1,SFN	
Extra-nuclear estrogen signaling	7.29E-01	1.33E-02	NaN	CREB1	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	7.29E-01	1.33E-02	NaN	NOTUM	
Interferon alpha/beta signaling	7.24E-01	1.32E-02	NaN	PTPN1	
Leptin Signaling in Obesity	7.24E-01	1.32E-02	NaN	NOTUM	
GDNF Family Ligand-Receptor Interactions	7.24E-01	1.32E-02	NaN	CREB1	
Signaling by NOTCH1	7.19E-01	1.3E-02	NaN	MYC	
Angiopoietin Signaling	7.19E-01	1.3E-02	NaN	TNIP1	
Antiproliferative Role of Somatostatin Receptor 2	7.19E-01	1.3E-02	NaN	CDKN1A	
Hypoxia Signaling in the Cardiovascular System	7.14E-01	1.28E-02	NaN	CREB1	
Thyroid Cancer Signaling	7.09E-01	1.27E-02	NaN	MYC	
Neurotrophin/TRK Signaling	7.09E-01	1.27E-02	NaN	CREB1	
Sirtuin Signaling Pathway	7.05E-01	6.71E-03	NaN	GADD45G,MYC	
Role of BRCA1 in DNA Damage Response	7.04E-01	1.25E-02	NaN	CDKN1A	
Caveolar-mediated Endocytosis Signaling	7.04E-01	1.25E-02	NaN	PTPN1	
IL-7 Signaling Pathway	7.04E-01	1.25E-02	NaN	MYC	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	7.04E-01	1.25E-02	NaN	IL6	
Dopamine Receptor Signaling	6.99E-01	1.23E-02	NaN	Il4i1/Il4i1b	
FLT3 Signaling in Hematopoietic Progenitor Cells	6.94E-01	1.22E-02	NaN	CREB1	
Estrogen-Dependent Breast Cancer Signaling	6.9E-01	1.2E-02	NaN	CREB1	
PI Metabolism	6.85E-01	1.19E-02	NaN	ARF1	
Transcriptional regulation of white adipocyte differentiation	6.85E-01	1.19E-02	NaN	CEBPD	
Activation of anterior HOX genes in hindbrain during early embryogenesis	6.85E-01	1.19E-02	NaN	KDM6A	
Integrin cell surface interactions	6.81E-01	1.18E-02	NaN	SPP1	
LPS-stimulated MAPK Signaling	6.81E-01	1.18E-02	NaN	CREB1	
Cyclins and Cell Cycle Regulation	6.76E-01	1.16E-02	NaN	CDKN1A	
FGF Signaling	6.76E-01	1.16E-02	NaN	CREB1	
HIPPO signaling	6.72E-01	1.15E-02	NaN	SFN	
PDGF Signaling	6.72E-01	1.15E-02	NaN	MYC	
p70S6K Signaling	6.69E-01	5.16E-03	NaN	Igkv16-104,NOTUM,SFN	
ABRA Signaling Pathway	6.67E-01	1.14E-02	NaN	IL6	
Oxidative Stress Induced Senescence	6.67E-01	1.14E-02	NaN	Cdkn2a	
Amyloid fiber formation	6.63E-01	1.12E-02	NaN	NPPA	
Regulation of Cellular Mechanics by Calpain Protease	6.63E-01	1.12E-02	NaN	ACTN2	
Opioid Signalling	6.59E-01	1.11E-02	NaN	CREB1	
BMP signaling pathway	6.59E-01	1.11E-02	NaN	CREB1	
Degradation of beta-catenin by the destruction complex	6.54E-01	1.1E-02	NaN	MYC	
PI3K Signaling in B Lymphocytes	6.54E-01	5.07E-03	NaN	CREB1,Igkv16-104,NOTUM	
Cell junction organization	6.5E-01	1.09E-02	NaN	CLDN15	
MAPK6/MAPK4 signaling	6.5E-01	1.09E-02	NaN	MYC	
Acute Myeloid Leukemia Signaling	6.5E-01	1.09E-02	NaN	MYC	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	6.5E-01	1.09E-02	NaN	IL6	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	6.46E-01	1.08E-02	NaN	CSF2	
Apelin Adipocyte Signaling Pathway	6.46E-01	1.08E-02	NaN	Gsta1 (includes others)	
Glutaminergic Receptor Signaling Pathway (Enhanced)	6.41E-01	6.08E-03	NaN	CREB1,NOTUM	
Heparan Sulfate Biosynthesis (Late Stages)	6.38E-01	1.05E-02	NaN	NOTUM	
Neuroinflammation Signaling Pathway	6.36E-01	6.02E-03	NaN	CREB1,IL6	
Prolactin Signaling	6.34E-01	1.04E-02	NaN	MYC	
Melanocyte Development and Pigmentation Signaling	6.26E-01	1.02E-02	NaN	CREB1	
Small Cell Lung Cancer Signaling	6.26E-01	1.02E-02	NaN	MYC	
UVA-Induced MAPK Signaling	6.26E-01	1.02E-02	NaN	NOTUM	
Cellular response to heat stress	6.15E-01	9.9E-03	NaN	HSPH1	
Mitochondrial Dysfunction	6.11E-01	5.8E-03	NaN	CREB1,Gsta1 (includes others)	
COPI-mediated anterograde transport	6.11E-01	9.8E-03	NaN	ARF1	
Heparan Sulfate Biosynthesis	6.11E-01	9.8E-03	NaN	NOTUM	
Response of EIF2AK4 (GCN2) to amino acid deficiency	6.07E-01	9.71E-03	NaN	RPL3L	
Mouse Embryonic Stem Cell Pluripotency	6.07E-01	9.71E-03	NaN	MYC	
IGF-1 Signaling	6E-01	9.52E-03	NaN	SFN	
Transport of inorganic cations/anions and amino acids/oligopeptides	5.89E-01	9.26E-03	NaN	SLC26A4	
ISGylation Signaling Pathway	5.86E-01	9.17E-03	NaN	IL6	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	5.85E-01	4.24E-03	NaN	CSF2,Igkv16-104,IL6,SPP1	
Regulation of Actin-based Motility by Rho	5.76E-01	8.93E-03	NaN	MYL4	
Nonsense-Mediated Decay (NMD)	5.6E-01	8.55E-03	NaN	RPL3L	
ESR-mediated signaling	5.57E-01	8.47E-03	NaN	MYC	
Sphingosine-1-phosphate Signaling	5.57E-01	8.47E-03	NaN	NOTUM	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	5.57E-01	8.47E-03	NaN	NOTUM	
Neuregulin Signaling	5.54E-01	8.4E-03	NaN	MYC	
PAK Signaling	5.54E-01	8.4E-03	NaN	MYL4	
Fc Epsilon RI Signaling	5.5E-01	8.33E-03	NaN	CSF2	
Nitric Oxide Signaling in the Cardiovascular System	5.5E-01	8.33E-03	NaN	BDKRB2	
MSP-RON Signaling in Macrophages Pathway	5.5E-01	8.33E-03	NaN	CREB1	
NGF Signaling	5.47E-01	8.26E-03	NaN	CREB1	
Eukaryotic Translation Termination	5.44E-01	8.2E-03	NaN	RPL3L	
IL-15 Production	5.44E-01	8.2E-03	NaN	IL6	
RHOA Signaling	5.41E-01	8.13E-03	NaN	MYL4	
L1CAM interactions	5.38E-01	8.06E-03	NaN	SH3GL2	
Asparagine N-linked glycosylation	5.36E-01	8E-03	NaN	ALG11	
Pancreatic Adenocarcinoma Signaling	5.36E-01	8E-03	NaN	CDKN1A	
Th1 Pathway	5.36E-01	8E-03	NaN	IL6	
Gαs Signaling	5.33E-01	7.94E-03	NaN	CREB1	
Endocannabinoid Developing Neuron Pathway	5.3E-01	7.87E-03	NaN	CREB1	
Glycosaminoglycan metabolism	5.27E-01	7.81E-03	NaN	B3GNT2	
IL-6 Signaling	5.24E-01	7.75E-03	NaN	IL6	
Neuroprotective Role of THOP1 in Alzheimer's Disease	5.21E-01	7.69E-03	NaN	CREB1	
LXR/RXR Activation	5.18E-01	7.63E-03	NaN	IL6	
Cardiac conduction	5.16E-01	7.58E-03	NaN	NPPA	
Response to elevated platelet cytosolic Ca2+	5.16E-01	7.58E-03	NaN	ACTN2	
fMLP Signaling in Neutrophils	5.13E-01	7.52E-03	NaN	FPR1	
Gα12/13 Signaling	5.1E-01	7.46E-03	NaN	MYL4	
Complement cascade	5.05E-01	7.35E-03	NaN	C2	
Neutrophil Extracellular Trap Signaling Pathway	5.03E-01	4.84E-03	NaN	FPR1,NOTUM	
SNARE Signaling Pathway	5.02E-01	7.3E-03	NaN	MYL4	
Atherosclerosis Signaling	5.02E-01	7.3E-03	NaN	IL6	
Adipogenesis pathway	5E-01	7.25E-03	NaN	CEBPD	
Role of PKR in Interferon Induction and Antiviral Response	4.97E-01	7.19E-03	NaN	MARCO	
FAK Signaling	4.96E-01	3.85E-03	NaN	BDKRB2,FPR1,MYC,TACR1	
Insulin Receptor Signaling	4.95E-01	7.14E-03	NaN	PTPN1	
Ephrin A Signaling	4.92E-01	7.09E-03	NaN	MYL4	
SRP-dependent cotranslational protein targeting to membrane	4.9E-01	7.04E-03	NaN	RPL3L	
Iron homeostasis signaling pathway	4.82E-01	6.9E-03	NaN	IL6	
Gαi Signaling	4.8E-01	6.85E-03	NaN	FPR1	
Semaphorin Neuronal Repulsive Signaling Pathway	4.75E-01	6.76E-03	NaN	MYL4	
Endocannabinoid Neuronal Synapse Pathway	4.73E-01	6.71E-03	NaN	NOTUM	
Dilated Cardiomyopathy Signaling Pathway	4.7E-01	6.67E-03	NaN	MYL4	
NAD Signaling Pathway	4.7E-01	6.67E-03	NaN	GJA1	
Eukaryotic Translation Initiation	4.7E-01	6.67E-03	NaN	RPL3L	
Transcriptional regulation by RUNX1	4.66E-01	6.58E-03	NaN	CSF2	
KEAP1-NFE2L2 pathway	4.66E-01	6.58E-03	NaN	CDKN1A	
WNT/SHH Axonal Guidance Signaling Pathway	4.66E-01	6.58E-03	NaN	SFN	
PTEN Signaling	4.63E-01	6.54E-03	NaN	CDKN1A	
Corticotropin Releasing Hormone Signaling	4.61E-01	6.49E-03	NaN	CREB1	
Hematopoiesis from Pluripotent Stem Cells	4.57E-01	4.46E-03	NaN	CSF2,IL6	
Relaxin Signaling	4.56E-01	6.41E-03	NaN	CREB1	
Epithelial Adherens Junction Signaling	4.52E-01	6.33E-03	NaN	SFN	
Ovarian Cancer Signaling	4.5E-01	6.29E-03	NaN	GJA1	
eNOS Signaling	4.45E-01	6.21E-03	NaN	BDKRB2	
Necroptosis Signaling Pathway	4.43E-01	6.17E-03	NaN	TNIP1	
Xenobiotic Metabolism General Signaling Pathway	4.41E-01	6.13E-03	NaN	Gsta1 (includes others)	
Transcriptional Regulatory Network in Embryonic Stem Cells	4.39E-01	6.1E-03	NaN	MYC	
CXCR4 Signaling	4.33E-01	5.99E-03	NaN	MYL4	
Coronavirus Replication Pathway	4.33E-01	5.99E-03	NaN	RPL3L	
G Protein Signaling Mediated by Tubby	4.32E-01	4.26E-03	NaN	IFT43,MYC	
Germ Cell-Sertoli Cell Junction Signaling	4.25E-01	5.85E-03	NaN	ACTN2	
Th1 and Th2 Activation Pathway	4.15E-01	5.68E-03	NaN	IL6	
Th17 Activation Pathway	4.08E-01	4.08E-03	NaN	CSF2,IL6	
Protein Sorting Signaling Pathway	4.04E-01	5.49E-03	NaN	ARF1	
Major pathway of rRNA processing in the nucleolus and cytosol	3.96E-01	5.38E-03	NaN	RPL3L	
MicroRNA Biogenesis Signaling Pathway	3.93E-01	5.32E-03	NaN	MYC	
GNRH Signaling	3.86E-01	5.21E-03	NaN	CREB1	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	3.82E-01	5.15E-03	NaN	IL6	
TCF dependent signaling in response to WNT	3.76E-01	5.05E-03	NaN	MYC	
Synaptic Long Term Depression	3.74E-01	5.03E-03	NaN	NOTUM	
Mitotic G2-G2/M phases	3.72E-01	5E-03	NaN	CDKN1A	
Human Embryonic Stem Cell Pluripotency	3.71E-01	4.98E-03	NaN	MYC	
Adrenomedullin signaling pathway	3.69E-01	4.95E-03	NaN	NOTUM	
Ephrin Receptor Signaling	3.68E-01	4.93E-03	NaN	CREB1	
Natural Killer Cell Signaling	3.66E-01	4.9E-03	NaN	Klra4 (includes others)	
Cilium Assembly	3.66E-01	4.9E-03	NaN	IFT43	
Intra-Golgi and retrograde Golgi-to-ER traffic	3.66E-01	4.9E-03	NaN	ARF1	
Beta-catenin independent WNT signaling	3.64E-01	4.88E-03	NaN	MYC	
Sheddase Signaling Pathway	3.64E-01	4.88E-03	NaN	IL6	
Clathrin-mediated Endocytosis Signaling	3.58E-01	4.78E-03	NaN	SH3GL2	
Role of Tissue Factor in Cancer	3.58E-01	4.78E-03	NaN	CSF2	
Gustation Pathway	3.55E-01	4.74E-03	NaN	NOTUM	
Keratinization	3.48E-01	4.63E-03	NaN	TGM1	
RHOGDI Signaling	3.4E-01	4.52E-03	NaN	MYL4	
TRIM21 Intracellular Antibody Signaling Pathway	3.34E-01	3.53E-03	NaN	Igkv16-104,IL6	
Communication between Innate and Adaptive Immune Cells	3.19E-01	3.19E-03	NaN	CSF2,Igkv16-104,IL6	
IL-12 Signaling and Production in Macrophages	3.12E-01	4.13E-03	NaN	CSF2	
Signaling by ROBO receptors	3.07E-01	4.07E-03	NaN	RPL3L	
Pancreatic Secretion Signaling Pathway	3.01E-01	3.98E-03	NaN	NOTUM	
Chromatin organization	2.96E-01	3.92E-03	NaN	KDM6A	
Cohesin Chromatin Regulation Pathway	2.86E-01	3.79E-03	NaN	MYC	
Ribosomal Quality Control Signaling Pathway	2.85E-01	3.77E-03	NaN	RPL3L	
Signaling by Rho Family GTPases	2.81E-01	3.73E-03	NaN	MYL4	
Chaperone Mediated Autophagy Signaling Pathway	2.79E-01	3.13E-03	NaN	EEF1A2,MYC	
B Cell Receptor Signaling	2.79E-01	3.13E-03	NaN	CREB1,Igkv16-104	
Systemic Lupus Erythematosus in T Cell Signaling Pathway	2.74E-01	3.1E-03	NaN	CREB1,IL6	
Huntington's Disease Signaling	2.61E-01	3.48E-03	NaN	CREB1	
Processing of Capped Intron-Containing Pre-mRNA	2.6E-01	3.47E-03	NaN	METTL14	
Systemic Lupus Erythematosus Signaling	2.48E-01	2.81E-03	NaN	BDKRB2,Igkv16-104,IL6	
Synaptogenesis Signaling Pathway	2.34E-01	3.15E-03	NaN	CREB1	
Pulmonary Fibrosis Idiopathic Signaling Pathway	2.26E-01	3.07E-03	NaN	IL6	
Myelination Signaling Pathway	2.23E-01	3.03E-03	NaN	CREB1	
Neutrophil degranulation	-0E00	2.1E-03	NaN	FPR1	
RHO GTPase cycle	-0E00	2.22E-03	NaN	GJA1	
Role of NFAT in Regulation of the Immune Response	-0E00	9.54E-04	NaN	Igkv16-104	
FcγRIIB Signaling in B Lymphocytes	-0E00	1.88E-03	NaN	Igkv16-104	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	1.63E-03	NaN	ARF1	
T Helper Cell Differentiation	-0E00	2.11E-03	NaN	IL6	
Graft-versus-Host Disease Signaling	-0E00	2.23E-03	NaN	IL6	
CDC42 Signaling	-0E00	1.73E-03	NaN	MYL4	
Phospholipase C Signaling	-0E00	2.67E-03	NaN	CREB1,Igkv16-104,MYL4	
B Cell Development	-0E00	2.04E-03	NaN	Igkv16-104	
IL-4 Signaling	-0E00	1.74E-03	NaN	CREB1	
NF-κB Signaling	-0E00	1.75E-03	NaN	TNIP1	
T Cell Receptor Signaling	-0E00	1.61E-03	NaN	CSF2	
T Cell Exhaustion Signaling Pathway	-0E00	1.76E-03	NaN	IL6	
